From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
vectorbase:ASTE004235	A0A182XW19	unreviewed	A0A182XW19_ANOST	alpha-glucosidase (EC 3.2.1.20)		Anopheles stephensi (Indo-Pakistan malaria mosquito)	598	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:ADAC002185	A0A2M4DQF3	unreviewed	A0A2M4DQF3_ANODA	Putative oxidase/peroxidase		Anopheles darlingi (Mosquito)	595	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:ADAC002185	W5JRW3	unreviewed	W5JRW3_ANODA	Oxidase/peroxidase	AND_002185	Anopheles darlingi (Mosquito)	596	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:ACUA002457	A0A182LUR9	unreviewed	A0A182LUR9_9DIPT	alpha-glucosidase (EC 3.2.1.20)		Anopheles culicifacies	653	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:AALB015728	A0A182G0E9	unreviewed	A0A182G0E9_ANOAL	alpha-glucosidase (EC 3.2.1.20)		Anopheles albimanus (New world malaria mosquito)	594	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:ADAC007180	B6DDW2	unreviewed	B6DDW2_ANODA	Probable salivary maltase		Anopheles darlingi (Mosquito)	239	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:ADAC007180	B6DDW3	unreviewed	B6DDW3_ANODA	Alpha-amylase		Anopheles darlingi (Mosquito)	294	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:ADAC007180	B6DDW4	unreviewed	B6DDW4_ANODA	Alpha-amylase		Anopheles darlingi (Mosquito)	193								
vectorbase:ADAC007180	B6DDW5	unreviewed	B6DDW5_ANODA	Salivary maltase		Anopheles darlingi (Mosquito)	188								
vectorbase:ADAC007180	B6DDW7	unreviewed	B6DDW7_ANODA	Salivary maltase		Anopheles darlingi (Mosquito)	162								
vectorbase:ADAC007180	B7T4S1	unreviewed	B7T4S1_ANODA	alpha-glucosidase (EC 3.2.1.20)		Anopheles darlingi (Mosquito)	594	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:ADAC007180	W5JEB7	unreviewed	W5JEB7_ANODA	alpha-glucosidase (EC 3.2.1.20)	AND_007180	Anopheles darlingi (Mosquito)	594	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:AGAP002102	Q7PYT9	unreviewed	Q7PYT9_ANOGA	alpha-glucosidase (EC 3.2.1.20)	1281368 AgaP_AGAP002102	Anopheles gambiae (African malaria mosquito)	593	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:AEPI006283	A0A182PH74	unreviewed	A0A182PH74_9DIPT	Isoleucyl-tRNA synthetase (EC 3.2.1.20) (EC 6.1.1.5)		Anopheles epiroticus	1802	carbohydrate metabolic process [GO:0005975]; isoleucyl-tRNA aminoacylation [GO:0006428]		aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; carbohydrate metabolic process [GO:0005975]; isoleucyl-tRNA aminoacylation [GO:0006428]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005975; GO:0006428			
vectorbase:AMIN000636	A0A182VRF0	unreviewed	A0A182VRF0_9DIPT	alpha-glucosidase (EC 3.2.1.20)		Anopheles minimus	593	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:AFAF005346	A0A182Q8T6	unreviewed	A0A182Q8T6_9DIPT	alpha-glucosidase (EC 3.2.1.20)		Anopheles farauti	593	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:ADIR003184	A0A182N6B2	unreviewed	A0A182N6B2_9DIPT	Isoleucyl-tRNA synthetase (EC 3.2.1.20) (EC 6.1.1.5)		Anopheles dirus	1789	carbohydrate metabolic process [GO:0005975]; isoleucyl-tRNA aminoacylation [GO:0006428]		aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; carbohydrate metabolic process [GO:0005975]; isoleucyl-tRNA aminoacylation [GO:0006428]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005975; GO:0006428			
vectorbase:AATE018919	A0A182JIX4	unreviewed	A0A182JIX4_9DIPT	alpha-glucosidase (EC 3.2.1.20)		Anopheles atroparvus	593	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:ASIS015385	A0A084WIW3	unreviewed	A0A084WIW3_ANOSI	alpha-glucosidase (EC 3.2.1.20)	ZHAS_00018219	Anopheles sinensis (Mosquito)	467	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:ASIS015385	A0A084WIW4	unreviewed	A0A084WIW4_ANOSI	alpha-glucosidase (EC 3.2.1.20)	ZHAS_00018220	Anopheles sinensis (Mosquito)	1069	carbohydrate metabolic process [GO:0005975]		carbohydrate metabolic process [GO:0005975]		GO:0005975			
vectorbase:AFAF007386	A0A182QCF9	unreviewed	A0A182QCF9_9DIPT	Heme peroxidase		Anopheles farauti	593	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:ADAC002186	B6DDU6	unreviewed	B6DDU6_ANODA	Salivary peroxidase		Anopheles darlingi (Mosquito)	591	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:ADAC002186	W5JTG7	unreviewed	W5JTG7_ANODA	Oxidase/peroxidase (Salivary peroxidase)	AND_002186	Anopheles darlingi (Mosquito)	591	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:AMEC003752	A0A182TK33	unreviewed	A0A182TK33_9DIPT	Heme peroxidase 12		Anopheles melas	590	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:ACUA003065	A0A182LVL4	unreviewed	A0A182LVL4_9DIPT	Peroxidase-like		Anopheles culicifacies	600	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:ASIS004536	A0A084V9X5	unreviewed	A0A084V9X5_ANOSI	AGAP010735-PA-like protein	ZHAS_00000170	Anopheles sinensis (Mosquito)	588	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:ASIS004536	A0A084VXE0	unreviewed	A0A084VXE0_ANOSI	AGAP003233-PA-like protein	ZHAS_00010363	Anopheles sinensis (Mosquito)	631	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:ASIS004536	A0A084WCK2	unreviewed	A0A084WCK2_ANOSI	AGAP010735-PA-like protein	ZHAS_00016009	Anopheles sinensis (Mosquito)	82	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:AEPI000705	A0A182P1C3	unreviewed	A0A182P1C3_9DIPT	Heme peroxidase		Anopheles epiroticus	619	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:AATE019233	A0A182JJH9	unreviewed	A0A182JJH9_9DIPT	Peroxidase-like		Anopheles atroparvus	587	response to oxidative stress [GO:0006979]	egg chorion [GO:0042600]	egg chorion [GO:0042600]; heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	heme binding [GO:0020037]; peroxidase activity [GO:0004601]	GO:0004601; GO:0006979; GO:0020037; GO:0042600			
vectorbase:AFUN006704	A0A182RKD6	unreviewed	A0A182RKD6_ANOFN	Apyrase		Anopheles funestus (African malaria mosquito)	576	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:AFUN006704	Q06DI4	unreviewed	Q06DI4_ANOFN	5' nucleotidase		Anopheles funestus (African malaria mosquito)	139	nucleotide catabolic process [GO:0009166]		hydrolase activity [GO:0016787]; nucleotide catabolic process [GO:0009166]	hydrolase activity [GO:0016787]	GO:0009166; GO:0016787			
vectorbase:AMIN004362	A0A182W202	unreviewed	A0A182W202_9DIPT	Apyrase		Anopheles minimus	576	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ACUA002898	A0A182LVD5	unreviewed	A0A182LVD5_9DIPT	Apyrase		Anopheles culicifacies	641	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:AEPI005349	A0A182PEJ4	unreviewed	A0A182PEJ4_9DIPT	Apyrase		Anopheles epiroticus	575	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ASTE008450	A0A182YBK9	unreviewed	A0A182YBK9_ANOST	Apyrase		Anopheles stephensi (Indo-Pakistan malaria mosquito)	575	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ASTE008450	Q8I6Q2	unreviewed	Q8I6Q2_ANOST	Salivary apyrase		Anopheles stephensi (Indo-Pakistan malaria mosquito)	575	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:AFAF008432	A0A182QEC4	unreviewed	A0A182QEC4_9DIPT	Apyrase		Anopheles farauti	575	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:AATE015296	A0A182JC40	unreviewed	A0A182JC40_9DIPT	Apyrase		Anopheles atroparvus	574	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ADIR002021	A0A182N309	unreviewed	A0A182N309_9DIPT	Apyrase		Anopheles dirus	583	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:AGAP011026	O76813	unreviewed	O76813_ANOGA	5'-nucleotidase		Anopheles gambiae (African malaria mosquito)	98	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; hydrolase activity, acting on ester bonds [GO:0016788]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	hydrolase activity, acting on ester bonds [GO:0016788]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	GO:0000166; GO:0009166; GO:0016788; GO:0046872; GO:0110165			
vectorbase:AGAP011026	Q5TVM9	unreviewed	Q5TVM9_ANOGA	5' nucleotidase, ecto (AGAP011026-PA)	1270958 AgaP_AGAP011026	Anopheles gambiae (African malaria mosquito)	570	AMP catabolic process [GO:0006196]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; 5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; AMP catabolic process [GO:0006196]	5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	GO:0000166; GO:0005886; GO:0006196; GO:0008253; GO:0046872			
vectorbase:AGAP011026	Q9UB34	unreviewed	Q9UB34_ANOGA	Putative 5'-nucleotidase (EC 3.1.3.5)	5Ntd	Anopheles gambiae (African malaria mosquito)	570	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; XMP 5'-nucleosidase activity [GO:0106411]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; XMP 5'-nucleosidase activity [GO:0106411]	GO:0000166; GO:0009166; GO:0046872; GO:0106411; GO:0110165			
vectorbase:ACHR002755	A0A182JW73	unreviewed	A0A182JW73_9DIPT	Apyrase		Anopheles christyi	570	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
